'Air', 'is-a', 'framework', 'graphics', 1, 'author1', '2009-04-29 11:00:41'
'air force blue', 'is-a', 'blue', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'alcohol', 'is-a', 'drink', 'culture', 1, 'author3', '2009-02-18 13:11:34'
'alice blue', 'is-a', 'blue', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'alice blue', 'is-a', 'cyan', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'alice blue', 'is-same-as', '#F0F8FF', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'alice blue', 'is-same-as', '#F0F8FF', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'animal', 'is-a', 'body', 'nature', 1, 'author3', '2008-04-17 14:20:47'
'artery', 'is-part-of', 'body', 'nature', 1, 'author3', '2008-04-17 14:20:47'
'artery', 'is-part-of', 'body', 'people', 1, 'author4', '2008-10-15 16:32:04'
'atmosphere', 'is-part-of', 'sky', 'nature', 1, 'author3', '2008-04-17 14:20:47'
'azure', 'is-a', 'blue', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'azure', 'is-a', 'blue', 'graphics', 1, 'author3', '2008-04-17 14:20:47'
'azure', 'is-a', 'cyan', 'graphics', 1, 'author3', '2008-04-17 14:20:47'
'baby blue', 'is-a', 'blue', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'baby blue', 'is-a', 'cyan', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'baby blue', 'is-same-as', '#E0FFFF', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'baby blue', 'is-same-as', '#E0FFFF', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'bad', 'is-property-of', 'alcohol', '', 4, 'robots@nodebox.net', '2008-07-15 19:47:20'
'bad', 'is-property-of', 'black', 'properties', 1, 'author4', '2008-10-16 09:06:44'
'beautiful', 'is-property-of', 'body', '', 1, 'robots@nodebox.net', '2008-07-12 20:39:12'
'beige', 'is-a', 'brown', 'graphics', 1, 'robots@nodebox.net', '2008-07-17 20:23:53'
'beige', 'is-a', 'brown', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'beige', 'is-a', 'yellow', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
'beige', 'is-property-of', 'ginger', 'nature', 1, 'author4', '2008-10-14 22:38:38'
'beige', 'is-same-as', '#F5F5DC', 'graphics', 1, 'robots@nodebox.net', '2008-07-18 19:43:28'
